"Date","Description","Debit","Credit","Balance"
"01 Sep 2025","Ppsr Afsa Barton AU","$2.00","","+$376.59"
"01 Sep 2025","KFC Burpengary Burpengary AU","$24.95","","+$351.64"
"01 Sep 2025","Woolworths/beams Rd Taigum AU","$2.60","","+$349.04"
"02 Sep 2025","Bluey S Carvery Taig Taigum AU","$5.50","","+$343.54"
"02 Sep 2025","Qut Parking Kelvin Grove AU","$8.50","","+$335.04"
"02 Sep 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$380.71","+$715.75"
"03 Sep 2025","Spotify P3a1a728d9 Sydney AU","$13.99","","+$701.76"
"03 Sep 2025","Australian Vending Compantullamarine AU","$3.00","","+$698.76"
"03 Sep 2025","Coles 4547 Chermside AU","$2.23","","+$696.53"
"03 Sep 2025","Qut Parking Kelvin Grove AU","$10.50","","+$686.03"
"03 Sep 2025","Transfer","$300.00","","+$386.03"
"04 Sep 2025","Optus Prepaid Melbourne AU","$13.00","","+$373.03"
"04 Sep 2025","Coles 4547 Chermside AU","$1.35","","+$371.68"
"04 Sep 2025","McDonald's Virginia Virginia AU","$10.30","","+$361.38"
"04 Sep 2025","Sushi Hub Chermside Chermside AU","$10.71","","+$350.67"
"04 Sep 2025","7-Eleven 4221 Taigum AU","$12.99","","+$337.68"
"05 Sep 2025","Everyday Insurance Chatswood AU","$58.18","","+$279.50"
"05 Sep 2025","7-Eleven 4034 Zillmere AU","$6.00","","+$273.50"
"05 Sep 2025","Qut Parking Kelvin Grove AU","$8.00","","+$265.50"
"06 Sep 2025","Qut Parking Kelvin Grove AU","$10.00","","+$255.50"
"06 Sep 2025","Kelvin Grove Store P Kelvin Grove AU","$7.12","","+$248.38"
"06 Sep 2025","Gather Cafe & Bar Kelvin Grove AU","$13.20","","+$235.18"
"06 Sep 2025","Qut Parking Kelvin Grove AU","$10.00","","+$225.18"
"07 Sep 2025","Australian Vending Compantullamarine AU","$5.80","","+$219.38"
"07 Sep 2025","Coles 4432 Taigum AU","$17.14","","+$202.24"
"08 Sep 2025","McDonald's 950095 Albion AU","$6.49","","+$195.75"
"08 Sep 2025","7-Eleven 4221 Taigum AU","$20.19","","+$175.56"
"09 Sep 2025","McDonald's Queen St Brisbane AU","$1.75","","+$173.81"
"09 Sep 2025","Australian Vending Compantullamarine AU","$6.50","","+$167.31"
"09 Sep 2025","Ampol Woolworths Cars Carseldine AU","$94.01","","+$73.30"
"09 Sep 2025","McDonald's Virginia Virginia AU","$0.20","","+$73.10"
"09 Sep 2025","Qut Parking Kelvin Grove AU","$10.00","","+$63.10"
"09 Sep 2025","Sunlit Asian Superma Kelvin Grove AU","$1.99","","+$61.11"
"09 Sep 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$203.51","+$264.62"
"10 Sep 2025","BP Exp Hamilton 1490 Hamilton AU","$9.00","","+$255.62"
"10 Sep 2025","Woolworths/beams Rd Taigum AU","$3.00","","+$252.62"
"10 Sep 2025","Smp*golden Lava Toast94 Kelvin Grove AU","$15.03","","+$237.59"
"10 Sep 2025","7-Eleven 4352 Kelvin Grove AU","$3.30","","+$234.29"
"10 Sep 2025","McDonald's 950332 Virginia AU","$7.00","","+$227.29"
"11 Sep 2025","Coles 4547 Chermside AU","$4.94","","+$222.35"
"11 Sep 2025","Optus Prepaid Melbourne AU","$13.00","","+$209.35"
"11 Sep 2025","Coles 4547 Chermside AU","$6.17","","+$203.18"
"11 Sep 2025","Breadtop Chermside Chermside AU","$4.85","","+$198.33"
"11 Sep 2025","Breadtop Chermside Chermside AU","$4.34","","+$193.99"
