"Date","Description","Debit","Credit","Balance"
"01 Mar 2025","Sushi Hub Chermside Chermside AU","$5.22","","+$812.65"
"01 Mar 2025","A Hankin Company Wickham AU","$3.20","","+$809.45"
"01 Mar 2025","Mixue Brisbane South Brisbanau","$5.68","","+$803.77"
"01 Mar 2025","Coles 4432 Taigum AU","$19.00","","+$784.77"
"01 Mar 2025","Westfield Chermside Chermside AU","$12.00","","+$772.77"
"01 Mar 2025","Queen St Grocery Pty Brisbane Cityau","$3.04","","+$769.73"
"02 Mar 2025","Le Foodlicious Pty Ltd West End AU","$28.26","","+$741.47"
"02 Mar 2025","Adobe Sydney AU","$14.29","","+$727.18"
"02 Mar 2025","Coles 4547 Chermside AU","$3.94","","+$723.24"
"02 Mar 2025","Coles 4547 Chermside AU","$1.23","","+$722.01"
"02 Mar 2025","Coles 4432 Taigum AU","$11.87","","+$710.14"
"03 Mar 2025","Sq *Sugarville Hamilton AU","$4.86","","+$705.28"
"03 Mar 2025","Hs Asian Supermarket P South Brisbanau","$5.04","","+$700.24"
"03 Mar 2025","Sq *Miss Flossy Drinks Eagle Farm AU","$6.10","","+$694.14"
"03 Mar 2025","Eat Street Northshore Hamilton AU","$12.00","","+$682.14"
"03 Mar 2025","Spotify P34828e75c Sydney AU","$6.99","","+$675.15"
"04 Mar 2025","McDonald's Virginia Virginia AU","$5.95","","+$669.20"
"04 Mar 2025","7-Eleven Virginia 42 Virginia AU","$33.37","","+$635.83"
"04 Mar 2025","Everyday Insurance Chatswood AU","$147.94","","+$487.89"
"04 Mar 2025","Auyi Yum Pty Ltd Chermside AU","$17.88","","+$470.01"
"04 Mar 2025","Westfield Chermside Chermside AU","$5.00","","+$465.01"
"04 Mar 2025","Sushi Hub Chermside Chermside AU","$6.39","","+$458.62"
"04 Mar 2025","Auyi Yum Pty Ltd Chermside AU","$21.44","","+$437.18"
"04 Mar 2025","Kronus Pty Ltd Atf T Kippa-Ring AU","$1.00","","+$436.18"
"04 Mar 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$587.34","+$1,023.52"
"05 Mar 2025","Qut Parking Kelvin Grove AU","$23.50","","+$1,000.02"
"05 Mar 2025","Chermside Butcher Chermside AU","$7.00","","+$993.02"
"05 Mar 2025","Yomg Chermside Chermside AU","$3.50","","+$989.52"
"06 Mar 2025","Aldi Stores - Taigum Taigum AU","$16.78","","+$972.74"
"06 Mar 2025","Aldi Stores - Fortitud Fortitude Valau","$70.33","","+$902.41"
"07 Mar 2025","Coles 4547 Chermside AU","$2.37","","+$900.04"
"07 Mar 2025","Coles 4547 Chermside AU","$16.62","","+$883.42"
"07 Mar 2025","Lat*leonieszillmere Zillmere AU","$4.20","","+$879.22"
"07 Mar 2025","McDonald's Bracken Rge Bracken Ridgeau","$1.50","","+$877.72"
"07 Mar 2025","Coles 4547 Chermside AU","$5.22","","+$872.50"
"07 Mar 2025","Lat*leonieszillmere Zillmere AU","$4.20","","+$868.30"
"07 Mar 2025","Coles 4432 Taigum AU","$4.63","","+$863.67"
"08 Mar 2025","Refund From Hanaro Trading Pty Ltd Chermside AU","","$2.85","+$866.52"
"08 Mar 2025","Hanaro Trading Pty Ltd Chermside AU","$2.85","","+$863.67"
"08 Mar 2025","Banh Mi Factory Pty Zillmere AU","$5.60","","+$858.07"
"10 Mar 2025","Liquorland 6531 Taigum AU","$7.60","","+$850.47"
"10 Mar 2025","Wow Banh Mi Aspley AU","$3.44","","+$847.03"
"10 Mar 2025","Coles 4432 Taigum AU","$12.62","","+$834.41"
"11 Mar 2025","McDonald's Virginia Virginia AU","$6.95","","+$827.46"
"11 Mar 2025","Yomg Chermside Chermside AU","$8.61","","+$818.85"
"11 Mar 2025","Yomg Chermside Chermside AU","$6.00","","+$812.85"
"11 Mar 2025","McDonald's Virginia Virginia AU","$3.50","","+$809.35"
"11 Mar 2025","Coles 4432 Taigum AU","$14.44","","+$794.91"
"11 Mar 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$147.73","+$942.64"
"12 Mar 2025","Apple.com/bill Sydney AU","$4.49","","+$938.15"
"12 Mar 2025","Lat*leonieszillmere Zillmere AU","$5.25","","+$932.90"
"13 Mar 2025","Coles 4547 Chermside AU","$2.37","","+$930.53"
"13 Mar 2025","The Reject Shop 4462 Taigum AU","$10.00","","+$920.53"
"14 Mar 2025","Coles 4432 Taigum AU","$25.79","","+$894.74"
"14 Mar 2025","Coles 4547 Chermside AU","$3.56","","+$891.18"
"14 Mar 2025","Big W/cnr Beams Rd & Churtaigum AU","$12.50","","+$878.68"
"15 Mar 2025","Chermside Butcher Chermside AU","$5.90","","+$872.78"
"15 Mar 2025","Circum Wash Mentone AU","$2.20","","+$870.58"
"15 Mar 2025","Victoria Park Golf Herston AU","$38.00","","+$832.58"
"15 Mar 2025","Westfield Chermside Chermside AU","$12.00","","+$820.58"
"15 Mar 2025","Woolworths/beams Rd Taigum AU","$57.99","","+$762.59"
"15 Mar 2025","Circum Wash Mentone AU","$2.20","","+$760.39"
"15 Mar 2025","Refund From Amazon Marketplace AU Sydney South AU","","$27.99","+$788.38"
"15 Mar 2025","Westfield Chermside Chermside AU","$12.00","","+$776.38"
"15 Mar 2025","Woolworths/beams Rd Taigum AU","$15.00","","+$761.38"
"15 Mar 2025","Post Taigum Lpo Taigum AU","$2.20","","+$759.18"
"15 Mar 2025","Victoria Park Golf Herston AU","$5.50","","+$753.68"
"16 Mar 2025","KFC Kedron Kedron AU","$18.90","","+$734.78"
"16 Mar 2025","Nosq Pty Ltd Kelvin Grove AU","$22.16","","+$712.62"
"16 Mar 2025","Chermside Butcher Chermside AU","$6.00","","+$706.62"
"16 Mar 2025","Coles 4547 Chermside AU","$1.17","","+$705.45"
"16 Mar 2025","KFC Kedron Kedron AU","$2.95","","+$702.50"
"16 Mar 2025","Coles 4547 Chermside AU","$2.92","","+$699.58"
"16 Mar 2025","Nosq Pty Ltd Kelvin Grove AU","$4.00","","+$695.58"
"17 Mar 2025","Hungry Jacks Aspley AU","$15.70","","+$679.88"
"17 Mar 2025","Coles 4547 Chermside AU","$3.37","","+$676.51"
"17 Mar 2025","Uber *Trip Help.uber.com\","$14.10","","+$662.41"
"18 Mar 2025","Chermside Butcher Chermside AU","$7.00","","+$655.41"
"18 Mar 2025","Westfield Chermside Chermside AU","$5.00","","+$650.41"
"18 Mar 2025","7-Eleven 4034 Zillmere AU","$4.50","","+$645.91"
"18 Mar 2025","McDonald's 950034 Aspley AU","$5.95","","+$639.96"
"18 Mar 2025","Coles 4556 Aspley AU","$11.70","","+$628.26"
"18 Mar 2025","Westfield Chermside Chermside AU","$5.00","","+$623.26"
"18 Mar 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$569.93","+$1,193.19"
